Name,Category,Exercise Hours,Well-being Score
Alice,Yoga,35,92
Bob,Running,25,85
Charlie,Meditation,15,78
David,Yoga,40,96
Eva,Running,20,80
Frank,Meditation,30,88
Grace,Yoga,45,99
Hannah,Running,10,72
Ian,Meditation,28,83
Jack,Yoga,38,91
Kara,Running,22,77
Liam,Meditation,32,86
Mia,Yoga,48,98
Nina,Running,18,75
Oliver,Meditation,26,79
Paul,Yoga,34,90
Quinn,Running,24,84
Rachel,Meditation,20,76
Sam,Yoga,42,94
Tina,Running,14,73
Uma,Yoga,50,97
Victor,Running,12,74
Wendy,Meditation,29,82
Xander,Yoga,37,92
Yara,Running,21,78
Zane,Meditation,27,80
